uniprot	gene
Q8IYK4	COLGALT2
Q6IQ20	NAPEPLD
Q49AR2	C5orf22
Q6ICI0	TMEM211
Q8MH63	SLC7A5P1
P30301	MIP
P0C854	CECR9
O60422	ONECUT3
Q9NVE5	USP40
Q96RD9	FCRL5
Q13433	SLC39A6
Q5VW38	GPR107
Q9UBH6	XPR1
P43155	CRAT
Q96A26	FAM162A
P30520	ADSS2
Q86TY3	ARMH4
Q9P2G9	KLHL8
Q9BZP6	CHIA
Q96EZ4	MYEOV
Q9UBS5	GABBR1
Q9NRQ2	PLSCR4
Q96NR3	PTCHD1
A8MWK0	FADS2B
Q8N427	NME8
Q8WUR7	C15orf40
P17655	CAPN2
Q9NRW3	APOBEC3C
O00358	FOXE1
Q9UN72	PCDHA7
Q569H4	PRR16
Q8TCJ2	STT3B
Q9Y6I9	TEX264
Q13351	KLF1
Q8N3T6	TMEM132C
P33241	LSP1
Q9Y585	OR1A2
P0DJD7	PGA4
P78369	CLDN10
P42263	GRIA3
Q9BZR6	RTN4R
O43506	ADAM20
O60832	DKC1
Q9UQQ1	NAALADL1
Q9Y5M8	SRPRB
P01911	HLA-DRB1
Q9NRZ7	AGPAT3
Q5T1S8	NCMAP
Q2V2M9	FHOD3
P02753	RBP4
Q5M7Z0	RNFT1
Q5SV17	TMEM240
Q9HCK4	ROBO2
Q9P2R3	ANKFY1
O00151	PDLIM1
Q9HBY0	NOX3
Q53H82	LACTB2
P29353	SHC1
P31277	HOXD11
Q92932	PTPRN2
Q16613	AANAT
Q9BQ16	SPOCK3
O60861	GAS7
Q9Y6Q9	NCOA3
Q8N1N5	CRIPAK
Q3SY05	LINC00303
Q8N6G1	LINC00337
Q5R3K3	CALHM6
P48357	LEPR
P56597	NME5
Q9NYZ1	TVP23B
O14561	NDUFAB1
Q92535	PIGC
Q16594	TAF9
Q6UX72	B3GNT9
Q14201	BTG3
O60296	TRAK2
Q9HC47	CTAGE1
Q8NGI9	OR5A2
P34896	SHMT1
Q99952	PTPN18
P48594	SERPINB4
O15525	MAFG
Q969X0	RILPL2
P18583	SON
Q7Z2W7	TRPM8
Q8N7Q2	CELF2-AS1
Q8IVV2	LOXHD1
Q6ZRQ5	MMS22L
Q13356	PPIL2
Q8NCG5	CHST4
Q9H9A7	RMI1
Q8IWX8	CHERP
P43365	MAGEA12
Q92902	HPS1
P54855	UGT2B15
P0C629	OR10J4
Q15181	PPA1
Q9NSY0	NRBP2
Q8IWT6	LRRC8A
P49961	ENTPD1
P0DKX4	SMIM18
Q9P0W5	IQCJ-SCHIP1
Q9P0W5	SCHIP1
P30456	HLA-A
Q8NHG7	SVIP
P01701	IGLV1-51
Q8IVY1	C1orf210
Q8IYV9	IZUMO1
P62829	RPL23
Q8TEC5	SH3RF2
Q9Y2T5	GPR52
P03973	SLPI
Q9H488	POFUT1
Q99717	SMAD5
Q16720	ATP2B3
P18085	ARF4
D6REC4	CFAP99
Q9Y6D5	ARFGEF2
Q8N7U9	LINC00469
Q07343	PDE4B
Q8TE58	ADAMTS15
Q8TDC0	MYOZ3
P10092	CALCB
A6NLX3	SPDYE4
P78385	KRT83
A0A1B0GVG6	TEX54
Q15631	TSN
Q6ZU45	CLEC20A
P0CJ71	MTRNR2L4
Q6V9R5	ZNF562
P48023	FASLG
A8MT19	RHPN2P1
Q5T1J5	CHCHD2P9
Q96PX9	PLEKHG4B
Q9UH17	APOBEC3B
Q9H0P7	AGPAT4-IT1
Q96HZ4	HES6
P55081	MFAP1
Q9HB14	KCNK13
Q9UIF7	MUTYH
P20138	CD33
Q9Y520	PRRC2C
Q14714	SSPN
Q6S5H4	POTEB3
Q8N688	DEFB123
P0DPD7	EEF1AKMT4
O95707	POP4
Q9UGP5	POLL
Q9H6I2	SOX17
Q96AY4	TTC28
P51690	ARSL
Q14549	GBX1
Q68DK7	MSL1
P0C2W7	CT47B1
Q8WYQ9	ZCCHC14
P06028	GYPB
Q15276	RABEP1
P0CG34	TMSB15A
A0A096LP49	CCDC187
Q8NGT5	OR9A2
Q8NH09	OR8S1
Q9H2H9	SLC38A1
Q9BYI3	FAM126A
O75324	SNN
Q9GZL8	BPESC1
Q13434	MKRN4P
A6PW82	CFAP47
Q3ZCT8	KBTBD12
Q05066	SRY
Q8N392	ARHGAP18
Q86VQ3	TXNDC2
Q9UJ37	ST6GALNAC2
Q08493	PDE4C
Q8IWL8	STH
P14151	SELL
C9JN71	ZNF878
Q9P2M7	CGN
Q8NA75	DCAF4L2
Q9BV99	LRRC61
Q9NPJ6	MED4
Q9Y291	MRPS33
P78562	PHEX
P62158	CALM1
P62158	CALM2
P62158	CALM3
Q13200	PSMD2
Q96QR8	PURB
Q6VUC0	TFAP2E
P06311	IGKV3-20
Q969G6	RFK
Q99967	CITED2
